State,Year,Domestic,Commercial,Industrial,Agricultural
Andhra Pradesh,2023,32000,15000,27000,19000
Arunachal Pradesh,2023,1000,500,700,400
Assam,2023,9000,4000,6000,3000
Bihar,2023,15000,6000,8000,7000
Chhattisgarh,2023,7000,3000,9000,5000
Goa,2023,2000,1200,1500,800
Gujarat,2023,25000,18000,40000,25000
Haryana,2023,17000,8000,12000,9000
Himachal Pradesh,2023,5000,2000,3000,2500
Jharkhand,2023,6000,2500,8000,4000
Karnataka,2023,27000,12000,22000,15000
Kerala,2023,22000,10000,15000,9000
Madhya Pradesh,2023,18000,8000,15000,12000
Maharashtra,2023,42000,22000,50000,30000
Manipur,2023,2000,700,1000,6000
Meghalaya,2023,3000,1000,2000,1200
Mizoram,2023,1000,400,600,500
Nagaland,2023,1500,500,800,600
Odisha,2023,12000,5000,18000,10000
Punjab,2023,25000,9000,20000,17000
Rajasthan,2023,22000,10000,25000,20000
Sikkim,2023,800,300,500,400
Tamil Nadu,2023,35000,18000,45000,30000
Telangana,2023,30000,14000,28000,20000
Tripura,2023,1500,600,1000,800
Uttar Pradesh,2023,45000,20000,35000,25000
Uttarakhand,2023,8000,3000,5000,4000
West Bengal,2023,30000,15000,25000,18000
